text,y_true,y_pred
"The engagement level of the following phrase: 'The following data were obtained from one Female student 6 of Politics class 158 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:86.01682904346629, sd:7.953267480844762, max:97.57839631108268, min:74.34978204573365
ACC: mean:37.33058815923742, sd:11.920063529856074, max:53.92669998282884, min:6.295742641219444
EDA: mean:0.4603238419090365, sd:0.0720973470630383, max:0.6104339108308596, min:0.341387370081859
TEMP: mean:30.29513072130738, sd:0.2049582084895801, max:30.62023489416668, min:29.92568558870534' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,engagement
"The engagement level of the following phrase: 'The following data were obtained from one Male student 8 of English class 157 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:89.26379064572308, sd:14.24847584055776, max:110.31498911027748, min:64.85955933999895
ACC: mean:39.9498991510719, sd:8.65133985296356, max:50.5228366195664, min:20.47622904859003
EDA: mean:0.4163695712700225, sd:0.1061366634807534, max:0.5665916520255223, min:0.2833236593210802
TEMP: mean:30.393291230648533, sd:0.1872330730780411, max:30.81345467252165, min:30.12085662789397' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,neutral
"The engagement level of the following phrase: 'The following data were obtained from one Female student 9 of Maths class 156 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:89.22742727687134, sd:9.154419242162238, max:106.16755629575104, min:75.30708894756896
ACC: mean:38.91810919626863, sd:11.0303014484464, max:55.984800871381175, min:27.009607754681408
EDA: mean:0.4154305363199092, sd:0.1025940422541326, max:0.5364248384698637, min:0.2
TEMP: mean:30.292799054703494, sd:0.1512226978110705, max:30.534014041984005, min:30.075686748459688' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,disengagement
"The engagement level of the following phrase: 'The following data were obtained from one Female student 9 of Science class 101 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:90.48084988719594, sd:5.853546910233955, max:100.9046074137635, min:79.46067091539945
ACC: mean:44.7245258057135, sd:9.611979445361785, max:54.07915061119158, min:20.22319037629799
EDA: mean:0.4478469874626466, sd:0.1068115829894924, max:0.6548708257698851, min:0.2874507729800167
TEMP: mean:30.17199354426845, sd:0.2956871822106403, max:30.70133899059045, min:29.728555688876263' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,engagement
"The engagement level of the following phrase: 'The following data were obtained from one Female student 10 of Language class 107 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:86.97959207014478, sd:12.17737810557862, max:111.6741436402712, min:70.607948478272
ACC: mean:38.24241486980391, sd:9.849614559941124, max:52.89599409447649, min:20.56327397603464
EDA: mean:0.4632754421986668, sd:0.1330812422660859, max:0.7617681129208047, min:0.22253789687938
TEMP: mean:30.309226008899365, sd:0.2312909910593809, max:30.7218870138092, min:30.040222207908062' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,neutral
"The engagement level of the following phrase: 'The following data were obtained from one Female student 10 of Language class 137 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:94.5954825317272, sd:9.4710120050721, max:112.52369912868724, min:80.62970638847302
ACC: mean:33.32640478452902, sd:7.979721305169601, max:44.98953071717421, min:18.82651113989701
EDA: mean:0.4823878644427785, sd:0.0826766011173391, max:0.6483633652436019, min:0.3665728656932034
TEMP: mean:30.28738950354748, sd:0.2253619953578885, max:30.65910737988972, min:29.870581962909156' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,neutral
"The engagement level of the following phrase: 'The following data were obtained from one Female student 10 of Maths class 145 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:83.45613128659213, sd:11.334186850890944, max:109.24556229829014, min:60.26185060066084
ACC: mean:38.98304851019065, sd:5.829439455962089, max:50.2885655020056, min:31.725792655736267
EDA: mean:0.4292205915003219, sd:0.1007149844480245, max:0.622569379281477, min:0.2258084065491087
TEMP: mean:30.37550180626728, sd:0.3458034073439551, max:30.901209385563494, min:29.70525098981169' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,neutral
"The engagement level of the following phrase: 'The following data were obtained from one Female student 10 of Politics class 118 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:83.91920958641722, sd:9.90019332029736, max:101.30432344378816, min:68.64570040286193
ACC: mean:38.11836737431088, sd:9.068565347882698, max:50.85582234361679, min:21.44775287810567
EDA: mean:0.4400664125576624, sd:0.0863059854856294, max:0.5612634305203302, min:0.3012138296509377
TEMP: mean:30.29852566647371, sd:0.1078807197859807, max:30.441197276476917, min:30.127722050569552' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,neutral
"The engagement level of the following phrase: 'The following data were obtained from one Male student 11 of English class 109 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:88.40972903654583, sd:10.21045079394369, max:100.66661253198411, min:70.20124891791832
ACC: mean:40.25460582719609, sd:10.729097526422931, max:57.83704135478752, min:24.7515421906726
EDA: mean:0.4721098123489143, sd:0.1189291336046244, max:0.7005448905356895, min:0.3127590262438693
TEMP: mean:30.34900502683239, sd:0.1710523380486164, max:30.62210840562585, min:30.06815674857602' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,neutral
"The engagement level of the following phrase: 'The following data were obtained from one Female student 13 of Maths class 110 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:84.46355434441426, sd:10.421314388690408, max:103.99123240836734, min:63.41830569450981
ACC: mean:41.082243300217925, sd:11.316297344804156, max:56.4866306896655, min:24.18230811432296
EDA: mean:0.441178392903114, sd:0.0995358110461987, max:0.5905647597507964, min:0.2397399308078978
TEMP: mean:30.28575599516335, sd:0.2045536504093568, max:30.76604988147184, min:30.01927133063811' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,neutral
"The engagement level of the following phrase: 'The following data were obtained from one Female student 13 of Maths class 108 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:85.13840579190949, sd:11.141003938763928, max:103.74586357762342, min:64.44296509872642
ACC: mean:38.57226460756657, sd:4.755860194755934, max:48.421905769830175, min:30.48832780376121
EDA: mean:0.467774859056005, sd:0.1055231272838434, max:0.6407490672553269, min:0.3226162674865795
TEMP: mean:30.37074270332081, sd:0.2684991841202839, max:30.81510567461117, min:29.88282153441347' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,engagement
"The engagement level of the following phrase: 'The following data were obtained from one Male student 15 of Language class 141 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:85.36765030254188, sd:7.43366876745055, max:96.41632255765074, min:67.73422223400564
ACC: mean:38.32198051232557, sd:8.899837597124188, max:53.30185623796561, min:27.197329402193077
EDA: mean:0.4108834113174834, sd:0.0862371754188867, max:0.5109951387331977, min:0.2
TEMP: mean:30.210827501079176, sd:0.2469593938870374, max:30.619065996968388, min:29.75505283465244' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,disengagement
"The engagement level of the following phrase: 'The following data were obtained from one Female student 16 of Maths class 131 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:86.47673527554608, sd:7.729805039339442, max:95.72728377919394, min:69.74384821435353
ACC: mean:41.34124110334628, sd:8.670078789900083, max:53.40107823744032, min:21.13123048626947
EDA: mean:0.434021999091157, sd:0.0924275613018378, max:0.6874466283283993, min:0.3093189455395128
TEMP: mean:30.373155556116465, sd:0.2917907760669051, max:30.85056081834323, min:29.968123127365644' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,engagement
"The engagement level of the following phrase: 'The following data were obtained from one Female student 16 of Language class 112 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:88.84689281732699, sd:11.709050318744165, max:100.97940193535132, min:60.17039567656779
ACC: mean:40.89106139407272, sd:5.69269792009662, max:51.61760913340223, min:32.132552392699886
EDA: mean:0.4323579046316727, sd:0.102893828300339, max:0.5640895977150274, min:0.2465644132115637
TEMP: mean:30.395479593303637, sd:0.353709741564309, max:30.925809451267373, min:29.73581872367765' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,engagement
"The engagement level of the following phrase: 'The following data were obtained from one Male student 17 of Politics class 145 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:90.15570384245568, sd:9.5834211021574, max:109.66959267246966, min:77.14858456837668
ACC: mean:38.71238221072851, sd:10.443329876034994, max:55.3790476183525, min:24.588699673442893
EDA: mean:0.524415068573866, sd:0.1054894806266618, max:0.689844928558807, min:0.3507340984548419
TEMP: mean:30.42696499507332, sd:0.152911111974785, max:30.763746839370164, min:30.14095038969947' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,disengagement
"The engagement level of the following phrase: 'The following data were obtained from one Male student 18 of Science class 137 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:85.48644869304408, sd:8.357336967927724, max:99.96150221526126, min:75.11648580795958
ACC: mean:33.03336586935792, sd:13.895324476981887, max:55.63298800299569, min:9.848763100941504
EDA: mean:0.4482129676801014, sd:0.103977964665322, max:0.5964201272523587, min:0.267448789101529
TEMP: mean:30.381366053688424, sd:0.2098460110170019, max:30.764462537822663, min:30.06720868480576' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,neutral
"The engagement level of the following phrase: 'The following data were obtained from one Male student 19 of English class 104 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:87.0913557741154, sd:8.77403754075134, max:97.87834421307994, min:66.03553738356901
ACC: mean:41.18151277728337, sd:8.226969445327478, max:50.559370400156965, min:28.5524714799111
EDA: mean:0.4504288280249114, sd:0.1110830262575793, max:0.6322463342993792, min:0.2664429523129125
TEMP: mean:30.25894394540668, sd:0.2053561883279158, max:30.53987401914986, min:29.9313053646904' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,engagement
"The engagement level of the following phrase: 'The following data were obtained from one Male student 19 of English class 101 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:84.05573204548514, sd:8.056017000926158, max:95.35680763759731, min:69.83733499866004
ACC: mean:41.62516592207733, sd:6.35820821716737, max:51.83424078555975, min:28.41920620358639
EDA: mean:0.4823626083381566, sd:0.0698985583106301, max:0.6037854951326482, min:0.3915506567205601
TEMP: mean:30.373134664141634, sd:0.1258172679767678, max:30.5461424614893, min:30.180950209900253' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,engagement
"The engagement level of the following phrase: 'The following data were obtained from one Male student 19 of Maths class 152 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:92.94228382660091, sd:9.68574185018421, max:110.03309815257758, min:76.66053664032196
ACC: mean:32.09369533931058, sd:14.685352128465397, max:58.92098571617909, min:1.64799772459898
EDA: mean:0.4289620866598068, sd:0.0823147819388698, max:0.5697423199804907, min:0.2540818391264023
TEMP: mean:30.30810555652609, sd:0.2668604277472695, max:30.72143604799349, min:29.75470619058358' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,engagement
"The engagement level of the following phrase: 'The following data were obtained from one Female student 20 of English class 126 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:91.4868194685124, sd:9.737416680800306, max:113.27010418328604, min:80.26585073384985
ACC: mean:40.28124941577392, sd:9.601881765880668, max:59.42711034464186, min:27.75105100619133
EDA: mean:0.4602500853425275, sd:0.1075211377889035, max:0.6963013688775024, min:0.2569913130676567
TEMP: mean:30.26036214252041, sd:0.3004335358069454, max:30.80272575885336, min:29.672444464739897' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,neutral
"The engagement level of the following phrase: 'The following data were obtained from one Male student 22 of Science class 126 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:84.76968066013264, sd:11.77858210468947, max:104.54513280865034, min:63.58293013097513
ACC: mean:40.03949218535142, sd:11.428906321898332, max:58.97127212373027, min:26.21058597892621
EDA: mean:0.4339509400569622, sd:0.1063641571574913, max:0.6298414979164819, min:0.2650591994121594
TEMP: mean:30.37785283289272, sd:0.1863812146722343, max:30.702019283863383, min:30.04857622817045' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,neutral
"The engagement level of the following phrase: 'The following data were obtained from one Male student 23 of Health class 134 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:89.2232262640639, sd:6.102564258619407, max:97.02325761130386, min:74.73565172692004
ACC: mean:39.347322209988725, sd:12.57300299846086, max:55.55311070633304, min:14.785146579224218
EDA: mean:0.427090043112414, sd:0.0676139435918717, max:0.5553069717594913, min:0.3180828042167876
TEMP: mean:30.354987224204883, sd:0.2665279641511735, max:30.87952556511595, min:30.004526506407004' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,neutral
"The engagement level of the following phrase: 'The following data were obtained from one Female student 24 of Language class 131 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:85.36382154784887, sd:6.215608409495085, max:97.68744621167252, min:77.21635836205135
ACC: mean:36.48330150158424, sd:7.783846308409492, max:47.63951251054712, min:26.19373954704889
EDA: mean:0.4866962421865163, sd:0.0865859731589491, max:0.6162706016003496, min:0.3612837411637145
TEMP: mean:30.40473580310876, sd:0.2658107923438976, max:30.683203283080857, min:29.88380274964181' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,neutral
